short_name,overall,nationality,team_position,age,height_cm,weight_kg,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes
L. James,70,Nigeria,ST,26,188,80,62,70,70,57,65,67,52,36,34,70,69,72,75,67,67,71,74,71,84,63,36,21,70,45,61,67,24,26,32,16,15,14,10,16
L. Jackson,62,Australia,LB,24,194,83,37,21,63,44,21,40,26,23,39,45,55,59,39,47,39,35,86,66,86,25,54,52,21,28,36,53,61,62,60,8,14,14,8,8
L. Isgrove,65,Wales,RM,26,173,72,62,52,46,59,47,67,53,43,56,65,86,84,77,59,76,52,72,63,55,47,51,24,59,60,49,52,37,40,16,9,11,7,12,9
L. Hyam,66,England,RCM,27,178,72,56,52,60,68,40,63,56,55,65,67,73,71,73,67,75,63,70,75,71,55,75,66,60,64,59,65,66,67,66,15,12,13,7,7
L. Houri,67,France,LCM,23,166,61,61,47,55,71,63,67,69,68,68,68,68,65,75,71,91,66,57,66,31,58,46,50,65,68,69,63,62,50,53,9,7,8,8,12
L. Hogan,62,England,RCB,30,183,77,32,20,59,50,26,48,35,23,44,49,65,63,65,56,66,40,74,68,72,22,62,59,35,41,37,55,60,61,60,10,15,13,12,15
L. Hodson,62,Northern Ireland,RB,27,174,71,56,42,51,62,42,58,34,33,54,59,68,66,65,60,80,52,59,74,57,43,62,54,51,48,33,55,57,61,61,10,14,9,6,13
L. Hendrie,63,England,LB,24,178,72,59,27,57,54,34,56,55,45,52,57,69,72,69,62,71,49,60,78,63,35,60,60,50,56,30,54,58,61,61,9,8,11,7,8
L. Hemmerich,63,Germany,RB,21,180,70,63,49,55,61,44,59,70,57,58,63,75,78,61,58,67,78,68,78,68,51,77,51,58,56,56,53,51,60,62,9,9,10,9,14
L. Hannant,63,England,LM,25,180,70,52,62,52,62,45,61,46,32,58,65,64,69,59,62,71,59,63,73,69,55,84,55,63,57,39,70,56,56,51,11,5,9,8,9
L. Hägg-Johansson,65,Sweden,GK,24,189,79,20,17,20,28,11,17,13,15,22,23,35,42,37,58,33,48,30,25,57,12,23,24,13,18,22,46,21,20,14,66,62,64,64,65
L. Guwara,67,Germany,LB,23,185,83,66,28,55,63,31,65,45,35,53,65,72,81,64,62,59,41,67,66,74,32,70,69,57,44,42,52,62,68,65,14,11,7,9,13
L. Gugganig,66,Austria,RCB,24,191,83,31,48,57,62,32,51,72,73,54,58,56,60,56,67,47,72,55,72,80,51,69,69,47,48,41,53,68,73,62,11,9,15,15,14
L. Guaycochea,66,Argentina,CAM,27,178,70,43,57,53,69,66,68,67,66,64,65,76,72,79,60,67,59,43,74,61,55,57,61,72,63,64,65,59,68,53,14,15,7,7,12
L. Grill,64,Germany,GK,20,191,87,8,5,14,28,6,10,10,8,22,13,38,43,40,62,29,45,56,31,60,5,20,8,6,30,11,38,10,14,11,63,61,60,63,64
L. Grgic,64,Austria,LCM,23,183,84,39,32,58,64,29,53,34,38,58,59,66,69,54,63,65,46,69,84,75,48,69,62,33,46,44,60,64,63,56,11,10,14,12,6
L. Gregory,69,England,RS,30,188,80,43,70,66,59,65,64,56,61,46,67,67,73,69,69,58,68,64,72,79,59,70,21,72,61,71,64,24,23,29,7,13,15,8,15
L. Grace,65,Republic of Ireland,LCB,26,189,81,22,25,62,59,20,56,29,25,54,58,53,66,46,60,43,35,72,61,75,22,62,62,20,32,31,64,64,66,64,13,14,6,7,6
L. Görtler,65,Germany,RCM,25,186,80,57,59,62,67,64,61,51,42,51,66,67,69,69,68,67,64,72,76,73,55,73,17,64,63,51,61,44,38,35,11,15,14,13,14
L. Gooch,68,United States,RWB,23,173,69,60,59,51,67,53,72,55,58,65,70,80,79,59,59,80,64,55,65,72,57,78,31,57,65,63,64,60,54,50,13,13,11,14,8
L. Gonnelli,67,Italy,RCB,26,183,72,25,19,68,54,20,37,22,21,56,47,63,52,40,62,63,39,70,61,80,31,67,63,13,14,26,49,64,68,67,9,14,7,10,8
L. Gómez,66,Argentina,RM,23,163,66,55,59,58,65,47,67,50,45,61,67,71,76,91,62,93,59,72,71,54,62,47,59,66,60,48,61,61,56,44,8,7,12,14,11
L. Giovini,65,Argentina,GK,37,190,82,25,15,12,20,19,25,16,14,21,16,50,48,45,62,48,47,73,32,71,20,37,24,17,39,25,56,17,13,15,63,62,62,68,63
L. Ghiringhelli,68,Italy,RB,27,182,76,66,42,64,59,39,63,50,38,55,63,77,77,64,65,66,55,69,73,67,47,65,63,51,56,41,60,68,67,66,7,9,14,11,15
L. Germoni,62,Italy,LB,21,175,65,59,33,51,58,27,52,34,35,53,58,65,65,61,62,56,31,46,65,69,35,58,58,46,42,40,58,62,63,61,10,12,8,10,14
L. Gassama,67,Senegal,RB,29,181,74,60,35,58,66,32,62,54,43,60,62,73,78,75,69,67,47,66,77,71,36,79,64,48,52,59,60,63,68,63,15,6,7,13,6
L. Fröde,68,Germany,RCM,24,192,85,48,44,68,66,39,56,46,42,63,61,54,53,49,64,48,63,57,91,83,47,71,69,44,55,49,62,68,66,62,10,10,15,15,8
L. Fritzson,61,Sweden,RW,23,184,77,48,51,34,64,52,65,48,37,61,65,79,67,80,59,59,60,59,67,63,61,52,43,48,60,48,55,45,43,42,5,14,14,7,6
L. Fosgaard,63,Denmark,RWB,32,181,77,66,53,44,58,45,66,49,40,53,61,76,76,63,58,68,53,68,79,65,52,50,41,46,57,53,56,43,47,49,6,8,13,14,13
L. Fontaine,63,England,LCB,33,188,83,43,33,65,54,24,51,40,32,52,52,63,58,67,60,56,28,72,78,68,20,62,62,41,56,20,61,60,60,62,7,8,14,10,14
L. Ferguson,69,Scotland,RDM,19,180,75,61,63,68,73,65,68,63,63,69,68,72,71,79,61,76,64,70,75,74,64,70,55,63,70,44,69,53,63,57,6,11,6,14,14
L. Feeney,65,England,RWB,32,183,76,63,53,43,61,58,67,67,53,57,63,72,78,75,61,70,63,54,75,67,60,49,40,61,60,51,56,32,49,45,12,8,10,12,8
L. Faye,64,Netherlands,LB,21,170,79,59,26,50,56,31,63,34,31,53,62,67,75,52,63,82,56,69,66,73,32,69,64,57,33,24,67,63,65,63,14,6,7,14,6
L. Evans,69,Wales,RDM,24,186,88,70,54,47,72,68,64,48,66,76,69,54,52,61,67,64,71,55,75,72,71,68,64,58,72,53,66,63,66,60,6,11,9,15,14
L. Dos Santos,68,France,LWB,26,177,70,70,43,58,75,38,65,41,42,71,67,57,61,66,58,73,56,76,69,46,40,70,64,46,48,48,58,70,69,74,15,13,9,9,12
L. Donnelly,60,Northern Ireland,CDM,23,182,76,54,30,57,61,31,56,48,36,46,52,62,58,62,45,67,32,78,61,74,36,71,59,42,45,50,43,60,66,62,15,15,14,15,16
L. Desmond,62,Republic of Ireland,LB,24,183,75,56,37,59,59,35,60,57,30,55,57,52,53,61,57,59,56,70,72,69,46,60,57,50,53,52,63,62,62,60,13,6,15,6,13
L. Delgado,65,Colombia,GK,38,187,85,14,19,16,25,19,13,50,55,17,20,42,53,50,66,56,48,59,24,40,15,18,19,17,35,22,52,18,15,19,60,62,64,69,64
L. Daschner,64,Germany,CAM,20,182,68,52,55,46,66,50,63,44,38,57,64,73,72,74,59,77,53,72,68,62,51,53,58,58,63,35,56,60,44,38,6,14,7,11,7
L. Damour,68,France,RCM,28,181,75,59,61,58,66,55,61,60,52,66,64,63,68,75,67,63,65,71,72,63,62,79,68,52,65,39,58,66,67,67,9,14,12,10,12
L. Dajaku,63,Germany,RM,18,180,75,49,65,60,59,48,68,50,60,44,66,69,71,78,63,72,60,64,61,56,58,38,12,63,53,58,51,20,16,21,14,8,5,13,14
L. Czyborra,66,Germany,LB,20,178,72,66,32,48,62,30,63,69,66,51,65,86,87,81,52,63,80,60,78,65,57,66,61,58,45,33,59,55,65,63,6,12,9,8,7
L. Crepulja,66,Croatia,LCM,25,178,69,52,53,56,66,47,64,48,55,65,67,67,65,70,61,69,67,73,66,71,61,67,64,58,67,45,66,62,64,62,5,8,6,6,5
L. Crecco,67,Italy,LCM,23,183,76,68,50,64,69,42,66,50,35,64,70,67,70,58,72,63,67,48,79,71,54,68,70,66,60,44,64,53,52,54,13,6,14,11,7
L. Craig,66,Scotland,LCM,32,183,82,70,62,62,70,53,65,67,72,65,66,55,55,65,64,63,69,49,68,65,67,70,53,62,66,73,70,65,55,50,7,13,8,7,14
L. Coyle,65,England,RB,23,173,67,61,32,55,63,31,59,34,31,55,64,72,71,72,64,80,36,63,76,59,31,61,60,57,49,35,63,60,65,63,10,9,9,12,11
L. Ćirković,66,Serbia,LCB,26,192,80,41,30,68,57,36,37,32,29,60,50,66,69,43,61,40,38,44,63,79,29,67,64,26,30,37,67,62,67,63,12,5,11,10,7
L. Chiaretti,68,Brazil,CAM,31,171,67,66,59,53,69,64,71,69,67,63,72,80,75,83,68,91,66,39,70,40,65,35,24,61,59,61,65,25,26,24,7,5,12,8,10
L. Cháves,69,Argentina,GK,23,179,75,12,13,17,26,14,17,12,21,31,18,49,42,35,65,68,47,64,43,51,15,24,25,15,24,21,38,20,21,13,72,66,62,69,70
L. Chambers,68,England,LCB,33,185,87,52,23,66,57,17,45,34,17,58,55,52,55,55,64,61,40,77,71,77,24,75,64,21,50,25,55,70,67,67,16,10,8,14,7
L. Castellanos,68,Colombia,GK,35,183,78,13,18,15,24,17,15,14,18,22,23,42,44,44,67,51,44,64,23,62,16,24,24,19,51,24,35,22,20,16,67,66,59,67,70
L. Castaignos,67,Netherlands,LS,26,188,85,50,64,67,67,64,65,63,42,58,67,70,71,67,65,66,67,74,53,74,65,73,36,65,68,62,51,33,24,14,16,13,15,14,10
L. Cardoza,63,Colombia,LCB,34,188,86,58,36,57,51,25,44,31,34,46,58,66,52,52,71,34,21,62,53,85,26,45,70,43,41,36,51,55,61,65,11,13,10,7,14
L. Candellone,68,Italy,RS,21,186,80,60,65,69,62,63,64,64,55,55,63,65,68,52,64,53,74,53,86,82,65,45,27,70,55,69,57,18,29,32,8,11,9,12,6
L. Camp,67,Northern Ireland,GK,34,183,74,13,17,14,25,14,14,16,17,31,22,35,40,62,67,65,53,73,38,70,12,23,25,14,36,20,63,10,12,12,65,65,71,65,67
L. Caicedo,69,Colombia,CDM,23,172,67,40,46,58,66,37,69,38,41,65,67,65,66,75,64,77,60,84,93,74,44,78,67,62,63,45,66,64,62,63,14,12,14,8,14
L. Burnet,65,Netherlands,LB,28,170,65,68,44,59,60,31,65,37,38,58,62,74,74,75,62,85,42,61,66,59,32,70,64,58,60,57,60,63,63,60,12,10,13,8,9
L. Broxham,67,Australia,CDM,31,170,65,48,53,55,62,48,55,52,49,59,58,47,45,52,60,73,64,93,93,80,56,79,63,53,51,61,69,64,67,68,16,7,16,7,10
L. Brown,65,England,LB,28,183,79,61,47,62,62,45,58,64,62,59,60,69,72,64,60,77,67,80,85,78,58,57,58,49,57,67,71,65,64,62,14,7,10,11,6
L. Brattan,68,Australia,RDM,29,175,65,65,52,35,70,69,66,69,68,71,67,65,66,71,64,70,73,69,73,73,76,68,68,61,72,56,69,60,64,58,13,12,14,13,15
L. Boyce,68,Northern Ireland,ST,28,184,75,43,69,69,61,55,66,58,60,28,64,67,68,70,62,68,73,74,64,81,65,73,34,65,60,73,69,33,24,19,11,12,9,14,13
L. Boeder,67,Germany,RCB,22,184,81,54,23,63,64,30,48,33,35,55,63,66,68,62,68,63,49,90,71,74,27,57,67,38,45,42,63,67,69,68,8,12,9,7,11
L. Bittante,69,Italy,RB,25,184,75,68,38,60,68,40,69,55,48,62,66,71,83,72,65,54,62,62,83,60,40,62,60,59,59,45,62,63,67,67,9,9,12,11,7
L. Bijker,68,Netherlands,LB,26,175,74,63,35,55,61,33,62,41,33,62,64,75,74,67,64,76,32,79,72,71,28,76,68,53,54,52,67,67,69,70,7,9,8,8,10
L. Bertone,67,Switzerland,RDM,25,179,73,59,64,58,67,37,60,67,68,65,66,58,74,66,63,67,68,76,75,66,69,69,66,68,64,60,66,64,60,58,11,8,12,8,10
L. Benegas,69,Argentina,LW,30,180,78,43,71,69,56,70,58,45,40,44,63,71,77,63,64,57,75,74,81,84,68,58,39,65,45,69,59,36,21,18,6,6,14,10,8
L. Banks,62,England,LB,22,183,72,56,36,57,55,29,61,45,42,56,54,71,72,64,59,72,35,73,66,64,31,63,60,50,50,44,52,54,64,64,6,5,14,9,15
L. Badiashile,67,France,GK,21,186,80,10,8,16,55,8,18,13,11,47,25,32,42,42,60,35,49,62,42,67,6,25,15,6,45,12,48,13,16,17,67,65,65,65,69
L. Aveldaño,69,Argentina,LCB,33,185,82,36,49,71,63,27,33,25,28,62,57,46,50,50,63,35,71,76,74,83,43,78,66,53,52,59,62,68,66,60,9,10,11,15,7
L. Arias,67,Colombia,CAM,34,168,74,66,64,65,67,63,64,63,65,64,65,72,73,76,65,86,70,76,64,62,67,70,62,65,63,66,66,63,65,66,14,9,9,8,15
L. Argudo,65,United States,LM,23,175,68,64,57,44,66,50,64,63,62,58,65,69,73,75,61,81,62,52,65,59,51,58,58,63,57,60,61,43,46,47,13,15,8,15,15
L. Angol,62,England,LS,24,187,75,52,61,58,56,53,59,58,61,49,58,78,83,73,53,70,65,81,76,70,55,45,30,57,57,62,56,30,23,24,10,8,16,10,9
L. Amos,65,England,RDM,22,179,72,57,45,44,68,36,63,54,48,66,65,57,58,66,62,70,57,65,63,57,62,66,58,48,68,45,63,62,66,61,11,8,14,12,9
L. Alessandra,63,England,CAM,30,175,73,53,59,49,57,58,62,65,58,47,63,79,72,83,66,79,63,73,80,64,51,43,19,64,61,64,57,32,30,23,8,11,13,11,6
L. Akins,67,England,RM,30,185,79,65,65,58,62,54,66,58,47,56,64,75,74,72,61,68,70,71,82,80,67,72,60,64,54,60,50,59,59,58,11,12,12,6,11
L. Acevedo,69,Argentina,RCB,27,197,97,31,40,70,58,31,25,36,31,37,57,34,52,32,62,30,46,45,70,90,27,84,68,32,37,39,55,65,67,63,15,13,7,16,7
L. Abubakar,67,Ghana,RCB,24,183,82,34,31,63,65,28,41,33,26,63,50,51,67,55,58,51,37,80,67,83,29,73,66,24,39,38,49,60,66,63,11,6,15,15,12
L. Abergel,68,France,RCM,26,172,70,62,32,51,67,34,65,42,39,65,64,76,69,73,68,84,45,74,84,64,37,76,67,55,53,42,57,63,70,69,7,14,15,8,7
Kwon Soon Hyung,70,Korea Republic,LCM,33,176,71,67,64,50,73,62,65,68,68,71,69,54,60,65,68,73,71,67,60,65,71,61,65,71,73,54,67,68,57,54,8,11,13,10,15
Kwak Tae Hwi,64,Korea Republic,LCB,37,188,85,23,34,62,59,47,25,65,62,55,55,32,36,34,63,53,66,81,32,86,41,71,59,38,37,65,60,61,60,56,14,8,16,10,11
Ko Kwang Min,69,Korea Republic,LM,30,172,63,66,59,46,65,43,67,54,36,57,63,86,90,81,63,88,63,81,81,43,52,50,62,67,63,59,56,61,66,63,7,11,10,10,15
Klauss,69,Brazil,ST,22,190,85,58,67,70,65,58,66,43,55,61,65,61,64,57,68,50,71,67,68,81,63,36,17,69,60,65,57,28,26,22,11,5,7,7,13
Kim Young Gwon,70,Korea Republic,LCB,29,185,75,65,57,69,70,57,66,61,58,69,62,74,70,62,70,55,42,75,80,74,58,70,70,52,64,60,72,68,69,68,16,13,7,11,13
Kim Yong Hwan,65,Korea Republic,RB,26,175,67,61,38,42,65,21,67,28,35,48,58,77,92,76,66,77,40,60,75,66,40,68,58,70,58,35,60,50,63,62,9,15,6,11,10
Kim Won Il,68,Korea Republic,RCB,32,185,77,58,33,69,48,33,26,40,34,31,50,60,65,72,66,64,34,82,65,74,40,66,68,33,52,43,55,68,70,67,11,9,15,15,15
Kim Won Gun,62,Korea Republic,CB,27,186,77,36,31,66,50,26,43,23,28,48,55,71,66,62,58,60,35,66,64,70,29,66,57,36,37,31,63,53,64,61,15,9,9,10,13
Kim Tae Hwan,69,Korea Republic,RB,29,180,72,67,58,56,65,53,63,58,50,60,65,87,86,84,67,75,62,76,72,71,48,78,67,50,50,56,61,57,62,66,12,10,16,9,11
Kim Soo Beom,64,Korea Republic,LWB,28,174,66,59,44,56,63,56,65,67,62,62,62,77,78,80,60,87,55,79,73,60,56,61,57,62,54,57,60,59,64,61,9,15,14,10,14
Kim Seung Gyu,69,Korea Republic,GK,28,187,76,14,12,11,35,14,13,16,12,25,25,36,36,38,62,58,54,68,35,61,19,27,25,16,37,12,63,18,18,12,69,65,72,70,70
Kim Oh Gyu,68,Korea Republic,RCB,30,183,77,60,32,63,60,56,33,45,51,60,43,71,72,79,66,62,52,90,83,80,44,72,66,55,65,44,58,66,66,60,7,8,16,10,12
Kim Min Woo,66,Korea Republic,LB,29,174,66,62,62,50,64,63,68,62,52,62,64,80,73,73,60,75,64,70,65,70,62,63,68,60,62,53,60,34,64,65,11,6,14,16,10
Kim Min Tae,66,Korea Republic,CB,25,187,78,40,32,54,70,26,45,38,34,61,65,67,74,60,68,50,43,61,73,84,34,53,65,34,65,41,65,68,65,57,7,13,11,12,6
Kim Min Hyeok,68,Korea Republic,RCB,27,187,73,23,19,64,41,26,36,28,22,30,54,79,79,44,55,52,48,63,63,81,22,81,62,28,34,32,49,70,70,70,13,12,11,8,7
Kim Kwang Suk,69,Korea Republic,LCB,36,183,73,58,38,70,55,39,51,46,30,49,56,69,63,55,73,68,48,88,62,72,41,71,69,55,43,43,56,67,69,66,9,8,16,13,7
Kim Kee Hee,70,Korea Republic,RCB,29,187,78,60,34,69,65,40,35,51,42,66,58,65,66,58,69,56,54,69,69,79,48,66,71,60,55,45,65,68,68,65,10,10,15,8,15
Kim Jung Ho,60,Korea Republic,RCB,24,187,84,20,50,63,32,47,45,20,23,23,43,54,61,62,46,52,52,73,55,81,46,66,52,53,28,30,52,60,61,58,10,8,11,15,11
Kim Jun Yub,63,Korea Republic,LM,31,178,73,66,56,53,62,31,63,43,43,51,61,75,74,63,58,71,55,68,70,67,40,58,63,59,49,41,64,53,57,56,7,10,8,10,16
Kim Jin Ya,65,Korea Republic,LB,21,177,63,62,55,47,61,53,67,63,64,53,64,84,87,82,62,74,55,57,92,53,48,70,55,65,63,49,57,62,58,54,11,13,12,6,11
Kim Jin Hyeon,68,Korea Republic,GK,31,193,78,20,13,19,12,13,14,11,13,22,24,54,42,63,67,43,46,68,43,65,15,14,15,16,53,15,12,11,13,12,67,65,61,68,69
Kim Ho Nam,69,Korea Republic,RM,30,178,72,65,66,62,62,56,69,59,56,59,65,86,81,78,70,77,65,85,80,76,63,53,60,68,57,62,63,21,47,32,13,13,9,16,13
Kim Ho Jun,66,Korea Republic,GK,35,190,90,10,13,13,31,10,16,11,14,32,15,54,51,53,62,52,50,50,23,68,12,21,24,11,10,17,41,16,10,14,66,63,66,65,66
Kim Eun Sun,70,Korea Republic,CDM,31,182,79,53,54,61,67,54,61,66,55,70,66,69,72,72,66,60,65,72,75,75,65,70,70,62,67,63,53,68,70,67,11,15,11,13,11
Kim Dong Min,62,Korea Republic,RB,24,180,72,57,30,37,55,37,58,35,36,37,57,73,63,68,68,72,34,64,62,55,38,54,63,59,47,39,65,60,62,65,11,10,8,10,7
Kim Dae Won,66,Korea Republic,LS,22,171,65,65,59,61,66,50,67,40,34,44,65,83,75,68,62,69,67,75,64,59,60,64,17,67,64,60,70,34,12,15,10,6,9,11,12
Kim Bo Seop,61,Korea Republic,RS,21,183,73,50,58,55,56,39,61,43,34,30,59,76,77,75,51,66,66,61,81,65,55,63,18,62,57,55,52,18,13,19,12,9,5,9,14
Kike Hermoso,63,Spain,LCB,19,190,76,29,21,62,40,33,33,35,33,35,52,67,51,40,51,46,42,80,50,69,30,53,60,33,37,46,48,66,66,64,14,10,10,12,15
Kijera,69,Spain,LCB,33,176,76,79,43,66,67,35,54,79,70,70,63,67,70,69,64,67,70,77,75,75,55,79,65,48,63,56,70,60,69,67,15,11,9,12,11
Kaxe,65,Spain,CAM,25,183,76,62,61,63,66,52,62,57,55,62,64,67,66,65,65,60,56,53,57,61,50,46,31,67,66,56,70,48,53,55,10,14,5,8,8
Kang Sang Woo,66,Korea Republic,RB,25,176,62,64,61,49,65,45,63,46,47,49,61,77,81,80,66,74,79,41,64,60,42,33,64,69,57,55,54,67,65,63,12,16,15,12,9
K. Zapolnik,62,Poland,RM,26,182,77,61,64,65,59,48,64,42,31,46,62,69,66,70,59,71,59,81,68,68,58,62,25,58,56,64,56,24,25,27,13,8,11,10,6
K. Zachariassen,70,Norway,LCM,24,180,74,59,64,64,69,61,68,57,51,65,69,78,79,74,69,68,69,74,93,67,63,74,67,68,67,59,59,69,67,64,10,14,11,10,12
K. Yoshimoto,63,Japan,RCB,31,185,83,37,44,60,60,40,53,39,41,63,58,55,54,63,60,37,46,63,68,78,49,59,60,44,45,45,56,61,61,59,10,6,9,8,14
K. Yamamoto,62,Japan,LCM,29,179,79,59,40,44,65,45,67,56,53,63,65,66,73,72,59,60,52,67,65,81,59,44,45,49,62,52,65,56,59,56,13,12,8,14,5
K. Wright,61,England,LB,23,169,68,52,32,43,54,25,58,30,35,44,61,76,73,63,57,76,31,61,81,63,30,50,53,52,45,36,47,54,58,55,6,10,9,9,7
K. Wriedt,69,Ghana,ST,24,188,82,60,70,59,63,61,69,60,64,33,64,74,77,68,65,64,71,56,65,80,59,65,21,66,56,63,63,31,27,21,8,9,15,13,11
K. Woolery,64,England,LM,24,181,78,58,65,57,55,44,66,56,32,45,63,87,86,82,59,74,56,64,70,58,51,33,14,56,51,63,54,17,14,15,12,7,13,7,7
K. Wolze,70,Germany,LB,29,174,70,64,70,53,68,70,69,73,74,65,70,80,77,75,71,77,72,72,84,70,71,71,69,68,70,68,67,67,65,66,10,11,7,16,9
K. Wilson,63,England,RB,19,178,71,58,32,51,58,28,63,50,35,52,60,80,78,76,54,71,41,69,78,64,35,58,58,56,52,41,58,57,60,60,8,14,11,14,9
K. Ward,64,Republic of Ireland,RM,28,168,65,59,58,38,64,52,62,65,63,60,63,74,71,79,56,83,66,57,68,45,63,56,50,57,66,61,56,42,54,52,9,11,14,15,6
K. Wagner,70,Germany,LB,22,182,78,70,24,64,68,31,66,34,25,61,65,74,78,69,62,66,57,81,77,73,22,67,64,54,33,30,64,67,70,72,14,13,13,13,14
K. Vollmann,67,Germany,RM,25,174,70,58,56,38,67,51,67,62,60,59,65,81,83,84,62,88,67,73,77,59,63,70,50,64,62,54,63,31,46,40,10,11,10,7,15
K. Veendorp,67,Netherlands,RCB,22,183,77,34,39,64,67,50,50,40,57,66,64,66,68,65,59,53,69,65,63,75,56,67,64,23,56,62,58,63,67,67,13,13,16,10,9
K. Vassell,66,Northern Ireland,RW,26,183,78,35,65,61,54,60,60,37,47,51,63,78,79,71,59,62,72,54,69,77,62,55,27,61,44,61,56,32,35,28,6,9,9,7,9
K. Vandendriessche,69,France,RCM,29,183,83,62,64,70,68,66,60,70,68,67,65,61,60,56,68,54,79,69,92,84,70,80,71,71,66,52,70,70,69,67,9,9,14,10,14
K. Twardek,61,Canada,RW,22,186,79,56,54,55,57,47,61,54,52,51,58,79,75,67,52,54,55,55,70,69,53,43,42,51,56,55,57,26,36,39,14,10,9,15,12
K. Toner,63,Republic of Ireland,RCB,22,180,74,51,46,64,55,29,52,44,44,53,51,56,54,40,52,50,58,68,59,77,40,72,57,46,48,39,54,59,63,60,12,14,12,10,10
K. Tokstad,65,Norway,RW,27,185,84,62,58,58,58,59,63,64,58,59,62,76,81,69,58,69,66,57,85,75,60,66,56,58,65,59,66,33,48,46,14,9,12,7,11
K. Thorstvedt,62,Norway,RCM,20,189,79,54,63,55,63,60,63,57,56,61,65,48,43,64,54,69,72,74,73,74,62,67,41,65,59,52,59,46,51,49,13,8,10,6,12
K. Sugimoto,70,Japan,ST,26,187,79,39,68,67,66,55,66,53,34,56,68,68,76,76,67,65,73,76,77,85,68,61,15,71,57,65,70,30,12,11,5,11,8,13,12
K. Stuhr-Ellegaard,69,Denmark,GK,36,196,93,12,12,13,40,13,14,11,14,35,25,35,40,31,69,30,51,54,30,77,14,36,24,14,50,14,56,25,14,12,66,71,68,69,65
K. Sterling,63,England,ST,20,175,71,36,68,49,43,61,59,53,58,30,62,78,74,71,59,74,61,64,40,54,64,42,15,65,42,59,60,32,13,19,7,5,12,11,9
K. Söderström,62,Sweden,RM,33,182,79,57,48,34,59,42,64,48,52,53,66,62,69,62,58,58,52,49,69,66,54,46,28,61,56,46,72,42,26,30,8,11,12,8,12
K. Sierhuis,68,Netherlands,ST,21,180,84,40,74,68,58,68,55,59,52,44,63,52,62,53,59,72,75,47,74,80,66,62,20,69,55,70,61,36,19,15,13,8,12,8,10
K. Shirai,65,Japan,RM,25,165,63,58,56,33,60,54,68,59,46,55,65,84,79,82,61,87,60,59,68,45,62,41,43,51,60,50,61,26,28,23,6,12,12,7,6
K. Sheppard,64,Republic of Ireland,LM,28,181,80,61,57,59,58,59,61,60,50,55,62,86,85,72,56,60,61,79,74,74,57,69,30,61,57,63,58,40,12,16,16,10,13,13,7
K. Sekiguchi,62,Japan,LM,33,171,66,55,54,38,56,36,67,58,62,50,66,76,81,74,54,74,55,34,52,52,36,50,15,61,44,47,45,27,27,23,11,6,7,13,11
K. Sardella,60,Belgium,RB,17,177,64,58,32,49,65,42,61,51,49,61,63,68,69,72,53,73,48,72,58,46,34,61,53,22,49,31,54,51,60,61,8,14,8,6,10
K. Sadlier,66,Republic of Ireland,LM,24,182,66,62,64,54,63,67,69,66,68,59,66,73,75,73,53,65,70,67,74,64,72,58,44,63,65,67,62,33,36,34,11,12,10,8,9
K. Rosenberry,70,United States,RB,25,173,73,64,48,57,69,35,64,62,48,64,69,72,69,77,70,78,66,76,74,64,45,72,69,59,57,59,68,70,70,67,14,15,13,6,9
K. Roos,68,Netherlands,GK,27,196,90,14,18,13,25,19,16,17,15,20,20,45,38,35,59,38,52,60,43,68,18,20,19,14,42,23,44,9,18,21,72,65,69,67,68
K. Przybyłko,69,Poland,RS,26,192,86,43,71,70,57,67,63,54,48,50,65,61,67,63,64,52,70,69,75,83,65,56,22,69,51,56,52,24,23,20,13,16,11,16,9
K. Pröger,69,Germany,RM,27,177,73,64,64,46,61,63,70,54,56,53,69,91,88,74,67,73,74,71,69,64,64,59,41,65,57,50,64,37,38,29,9,14,11,8,12
K. Pedersen,66,Denmark,LCB,26,185,75,34,31,69,60,35,43,34,34,51,57,65,53,58,56,61,50,78,72,77,33,61,62,34,50,36,65,67,66,63,7,13,9,11,8
K. Pearce,67,England,CB,29,188,95,36,41,62,53,38,56,34,31,43,53,69,66,72,63,71,39,72,80,87,30,76,64,37,37,33,63,66,64,62,11,8,10,11,7
K. Parks,70,United States,CM,21,191,81,60,63,67,70,41,69,47,52,68,73,48,38,58,69,47,68,43,68,72,59,73,67,69,67,54,74,58,66,62,7,8,11,7,12
K. Palmer,70,England,CAM,22,175,68,63,63,55,65,61,77,65,63,63,73,76,72,78,64,75,66,58,65,62,62,47,31,66,71,57,71,37,46,46,7,16,9,11,16
K. Pallesen,63,Denmark,RB,29,175,72,64,36,46,58,22,64,60,27,50,65,78,73,72,59,71,37,48,74,73,30,63,58,64,45,37,55,58,60,58,8,8,8,13,16
K. Pagliuca,60,Switzerland,LS,22,188,78,34,57,39,61,54,69,40,24,33,62,68,71,56,44,59,64,44,49,67,58,29,15,62,56,38,60,30,17,13,5,11,7,14,6
